,Angular_Velocity
0,62.56791586660356
1,104.90554653248302
2,70.06772326090724
3,8.97937054742143
4,0.0
5,138.78544856278654
6,124.2439711214375
7,187.96769176996946
8,21.97187315192926
9,725.7804820014709
10,758.9673952187492
11,113.1070052066617
12,564.7827384728334
13,144.9715747454796
14,270.9591431200177
15,318.10035067798293
16,580.5004115703372
17,157.5469733477904
18,92.0527453361401
19,893.1104563951615
20,142.10132149493433
21,704.8511769774954
22,5.307904274678089
23,1.9093483011279826
24,236.6305677076976
25,818.9790631940818
26,292.31771469465104
27,150.28227584878252
28,350.4419740644074
29,426.12550163663445
30,126.02819323622951
31,934.9187788666858
32,191.1049993387464
33,772.5094303442545
34,1013.2136916069821
35,655.0620329068722
36,236.43589792648407
37,233.66936393323803
38,146.3436475826729
39,468.56387622918095
40,209.5501395010246
41,524.0584939586327
42,383.9504813036457
43,32.1164904070728
44,482.2222497937518
45,321.528509698604
46,134.23148039668712
47,296.67799198089864
48,213.88025548317572
49,34.55725103174762
50,14.552643421414931
51,857.7934865165169
52,97.35683384326643
53,16.737160479723784
54,564.2894494968764
55,386.83514394675086
56,9.483510863229055
57,61.995829687083685
58,23.106037083656656
59,16.618246572027687
60,681.6757105986678
61,20.373520017512806
62,0.0
