,Angular_Velocity
0,24.348143862624475
1,62.920159411401606
2,64.8639734476656
3,54.24259464779674
4,23.664475650859767
5,23.284789481617327
6,628.5091658546295
7,40.38253913655726
8,62.55269895314561
9,438.60617948894577
10,177.31067923875938
11,73.19383915241842
12,725.0018252720959
13,134.65761672676817
14,269.0090029202631
15,124.36565109176644
16,592.0213584663692
17,122.07296489796995
18,564.1217355506776
19,557.4192405857932
20,640.6039713188229
21,187.1243620936396
22,306.824269964289
23,283.44988786118125
24,390.48029950648674
25,720.9145546715298
26,373.0550460923653
27,138.9451510478223
28,28.97995147668352
29,628.7285692741918
30,191.38799852474904
31,846.1622966162948
32,42.908828092464766
33,339.60912235778136
34,176.9795232500169
35,932.7190318613813
36,119.23040198421029
37,606.3229603391695
38,388.60161925551967
39,415.4624382683768
40,114.23586752154873
41,310.16084994605865
42,158.84109510525266
43,209.8465784704504
44,692.0690020197989
45,329.18910680683575
46,57.10200160996123
47,117.19022364963398
48,314.6410278843298
49,8.492502636561321
50,306.96477003940373
51,647.8307651655053
52,18.34320031730097
53,130.25700790618174
54,175.79002660305085
55,131.09823054119965
56,46.43343820765567
57,60.10886582303925
58,36.39191514125635
59,7.8751504999634
60,36.0607271791321
61,26.73360835585719
62,3.0494789225921197
