,Angular_Velocity
0,1.5017909807365784
1,12.145975269032313
2,202.6768182467189
3,83.72827947280902
4,15.721661338262475
5,151.31066678760646
6,362.5209895615706
7,482.5294624832356
8,59.607786776375036
9,828.6777155050573
10,395.5583620806646
11,433.6641895922296
12,545.5813014049296
13,262.8524606122983
14,14.643173781432225
15,441.5758336476662
16,113.82212876855577
17,283.4219938250948
18,451.3190017163997
19,525.7025829346442
20,844.1043342359397
21,837.1795756404408
22,185.58949655273264
23,103.80053747719519
24,478.6366712388406
25,834.218059555393
26,318.3222607753743
27,149.64311842115788
28,870.5505971535322
29,115.34760090403435
30,142.502801822758
31,434.86343279722587
32,401.72112248854694
33,116.05478517412455
34,531.7548472256581
35,190.81252071501993
36,79.94126273459855
37,529.7334321554827
38,367.1975968280037
39,82.90080914983419
40,431.599502013414
41,720.642733795848
42,356.5066344487629
43,198.94818366778995
44,216.87023504740722
45,433.89424745827716
46,117.40166134895179
47,378.0136833774707
48,950.9612603079829
49,638.4860152793162
50,6.059345617930294
51,84.99874725128763
52,465.4145553809994
53,177.02819311466237
54,91.73384869878828
55,6.043616144693519
56,43.351906549411865
57,54.30030981906026
58,38.62857832658174
59,5.99959843323363
60,24.932584890747734
61,35.34421042808064
62,24.362358757388844
