,Angular_Velocity
0,8.42774941852491
1,4.606034808005675
2,242.61298756869894
3,105.79068635990029
4,23.1521961070236
5,30.84049434540712
6,174.59388977676767
7,543.8742349353303
8,314.11648752259646
9,557.9563838815096
10,433.89292859258234
11,504.9585202633921
12,223.7726800523674
13,462.22962932260197
14,119.63514642110516
15,593.4791824383044
16,350.0949813229204
17,570.1950284747643
18,53.1677505242783
19,115.96562597840085
20,766.7214720463514
21,729.8235350428251
22,196.83407985012775
23,115.65315081429793
24,301.1804238906293
25,113.0617596655681
26,518.1136970114088
27,290.9028991739536
28,648.4835771297937
29,64.47843648490414
30,198.9448114498186
31,171.18105513725993
32,522.7332856624862
33,13.458799846428606
34,431.1391604203182
35,727.9669349226781
36,412.22504895258385
37,385.88323542376423
38,343.3988168144613
39,97.34390418645076
40,561.4342715931446
41,555.9154371421132
42,345.3813548594788
43,140.0077127846945
44,101.46409431769901
45,573.1049763458245
46,105.60774667265592
47,497.7457852358347
48,851.8080370926418
49,664.1200906367707
50,48.06522055746353
51,62.207601161976534
52,218.0326181967503
53,73.59370178666937
54,17.8449160966605
55,87.2627871781458
56,62.20277086967609
57,49.997459223229704
58,3.214230356997656
59,10.36465145424339
60,23.557547909251603
61,16.838781486550104
62,3.2646186418322456
