,Angular_Velocity
0,14.080756496875056
1,25.491391133510184
2,178.21855735927127
3,82.73596198032452
4,2.813336302533266
5,54.77821200775719
6,308.7741685669847
7,372.01874141361657
8,114.21324395863172
9,673.9011814079988
10,260.17561890435815
11,273.1216217434695
12,467.62901790735714
13,259.8243503130738
14,46.252923802981435
15,388.25559364711086
16,81.98618828264577
17,305.9965626120273
18,232.61521694369682
19,301.2209933873956
20,787.9232256432557
21,771.7238738686192
22,178.59511616015098
23,124.84037707110865
24,301.50637892207055
25,378.6066118238284
26,192.60327987709886
27,167.70681133914258
28,627.7750387314762
29,134.26318989135055
30,202.90132287673785
31,421.7787721682016
32,375.83513821276705
33,100.0664449732782
34,427.3137937800736
35,538.1859077531834
36,198.75707734194424
37,444.5726497088008
38,388.2517774926348
39,51.24258851688297
40,368.3592349971839
41,649.0042364789731
42,286.13889187282064
43,122.70176118428847
44,303.45082432848596
45,312.43319512940013
46,72.05549775061495
47,374.5938683290507
48,684.0253497175232
49,437.9016632834956
50,12.860489655742176
51,293.921453739263
52,159.67962991636844
53,66.2623229477178
54,39.607575518517805
55,1.5064026544485023
56,22.01363250905699
57,18.293624841643915
58,10.847969401093021
59,3.901415981529001
60,18.884929405029972
61,13.17882514727949
62,4.466612611107452
