,Angular_Velocity
0,
1,
2,
3,
4,
5,
6,
7,351.6144514412735
8,155.6112290169263
9,487.3766709954233
10,261.18397904839935
11,207.03775468575492
12,481.4741581992551
13,185.23473054251167
14,40.44463620308851
15,356.0549228721777
16,50.01399494327488
17,392.7236160429502
18,179.68892806676143
19,215.44178910971343
20,683.0620348540373
21,234.43701721799772
22,617.9664880179009
23,110.37920004737755
24,259.85213064516824
25,30.951451871969823
26,478.4167382198847
27,131.76831132100443
28,427.11757754679724
29,266.4327727983162
30,177.90158032521433
31,435.80112804827235
32,329.15779625499357
33,121.89180531103595
34,334.2962311846643
35,528.1923358355608
36,159.81133690267626
37,459.6932290100639
38,324.1099843478779
39,74.8741888968591
40,341.4890792751535
41,528.5970409212197
42,197.4392639251266
43,124.32772502957792
44,194.79388800420884
45,329.0545519981244
46,60.08298755043845
47,326.57890369433295
48,514.7311528857402
49,293.8078297930501
50,52.817270504791715
51,176.34647857677786
52,299.2470102972747
53,23.56485466404296
54,25.53145495250619
55,33.13871332001107
56,3.3942958795054765
57,1.165054414636377
58,11.615911110386378
59,10.523710057294293
60,16.402773141920566
61,10.253025002066606
62,3.4932088860700317
