,Angular_Velocity
0,15.883872594544371
1,78.98963749983345
2,231.23122016757816
3,64.15149632266191
4,6.335568504425089
5,3.4381120277697708
6,122.4987819709788
7,389.779347963671
8,292.91353770528576
9,299.9094601915674
10,435.864996376039
11,268.88964620755564
12,236.25359131011726
13,397.73862782463385
14,599.6877210563371
15,424.14613761018455
16,72.24947912955116
17,551.0739671706968
18,179.7121554191258
19,317.94297037487314
20,733.8632539021569
21,154.56282625794142
22,582.8379128487963
23,204.2779443388875
24,12.54221945464643
25,145.27439918507594
26,912.9307511754452
27,347.34686586293356
28,580.7276702391858
29,306.6280327924971
30,135.28646202725827
31,168.36966887797374
32,606.26056259781
33,442.43006020005254
34,449.1866724582422
35,702.7879763339192
36,238.57529544875976
37,312.38769494724727
38,468.89639027224734
39,370.1705722340506
40,495.7701811804357
41,682.1969685167011
42,203.0455045318636
43,25.603529534676575
44,53.474216056987125
45,844.9813295440426
46,598.9012236272887
47,290.5029987974879
48,642.5591784670539
49,337.78673910939847
50,158.87261525464055
51,33.29393970382712
52,49.21641805407751
53,42.94497738599927
54,387.2565267960586
55,113.90181393118732
56,8.595192677330003
57,2.924382624738317
58,14.0401145786461
59,13.814719658550507
60,10.1744856556504
61,4.830154525294507
62,6.959889566619474
