,Angular_Velocity
0,46.272862530373146
1,42.186211302690296
2,94.15803001637862
3,52.37444266443687
4,11.381466176514252
5,152.02331570792748
6,181.5555366999737
7,157.52653203110629
8,0.0
9,582.3872590587345
10,726.7872570888959
11,109.73088869753578
12,299.2434811377269
13,98.46486398623382
14,210.32909525582687
15,180.9647293166782
16,482.8564250085419
17,80.35542229888424
18,55.220750992472944
19,827.4940484141222
20,279.47509296554335
21,564.0084901874646
22,52.98784252584054
23,65.97550495601273
24,4.7456770471584715
25,893.6241574719605
26,264.92780121625975
27,75.55093794573772
28,238.94576064395972
29,446.1378102970988
30,141.99884390666875
31,884.2669847139058
32,168.6794332593665
33,844.8103954916455
34,574.7374593077942
35,1034.7373998212925
36,210.51557824638664
37,108.70011547732962
38,165.3943261713557
39,511.7774418043776
40,73.77632545246502
41,351.0438404262832
42,176.66034801958128
43,17.114107228080115
44,334.6857021629214
45,326.24584561351287
46,73.16870910818328
47,140.50453037175618
48,183.89310550752487
49,57.24856362918508
50,51.62597824553066
51,608.5045349774872
52,178.9153652559315
53,63.44299093069902
54,644.9403661211373
55,239.3027953885505
56,6.477058154011181
57,33.867614128700794
58,51.90041576105309
59,48.52594920664109
60,315.3314879818529
61,39.665652694127736
62,207.71343630387838
