,Angular_Velocity
0,41.88175019541218
1,38.041963196754175
2,0.5632063246757115
3,31.949597287289926
4,67.84859458486633
5,135.244239820315
6,81.51866286561969
7,63.43723815195674
8,123.27327941607123
9,653.612289980942
10,98.4065914436655
11,141.36534238840468
12,504.97349831560274
13,365.1011185144489
14,160.00629073254015
15,496.1125988270334
16,447.38693871814195
17,95.78399907402931
18,249.59897662865805
19,797.2021037800216
20,156.6067672707114
21,794.7827936661781
22,28.683834635962814
23,103.76127365687906
24,345.29682581822317
25,590.6918302519512
26,63.1071962826356
27,124.11118659939663
28,219.17690135024483
29,939.1765540534325
30,191.4854953711891
31,580.5545157522074
32,307.901054407312
33,259.86789692866654
34,626.871540258296
35,183.58016440390327
36,179.3530609390286
37,417.5432773487851
38,340.300985046649
39,102.42680563606092
40,329.3279328934669
41,70.6662259246145
42,425.57467411530126
43,232.17086563773358
44,475.0654983890946
45,0.839221942886428
46,106.2728297380904
47,371.0374939161716
48,276.9848853226353
49,94.95002338284857
50,268.03688305531267
51,442.47892274358196
52,65.78144367693056
53,121.20040453015253
54,38.93797489410903
55,40.949244385653586
56,117.69164834027664
57,30.376689890931637
58,14.491072854864536
59,22.172135892130555
60,6.4065677253223825
61,10.864720388465049
62,5.945488335967788
