,Angular_Velocity
0,
1,
2,
3,
4,
5,
6,
7,36.65740390204567
8,46.59482567788995
9,588.93819219417
10,792.8855012248147
11,138.3970398003846
12,5.931007857919717
13,33.80094344143548
14,139.0266710808341
15,59.24437590349691
16,731.2230360724133
17,172.3610375576435
18,77.17576914466811
19,684.5212964734352
20,286.0268460975145
21,558.3793316318668
22,116.21912984649876
23,64.32362446628133
24,1039.6789971919625
25,234.48957025428632
26,151.24487268046957
27,15.275593678483212
28,185.1271086614289
29,494.9599929642194
30,156.3233616945199
31,543.6562099834431
32,183.2916641794536
33,540.4853650406507
34,800.7757759210112
35,851.5139698124457
36,185.66162786262964
37,6.326128702632309
38,6.030071458316503
39,295.14127253120586
40,64.07461060098868
41,182.0597614067881
42,44.613576344933456
43,33.803834605473575
44,86.31996435904567
45,242.14961543236066
46,78.49583847778293
47,2.347610476657387
48,136.27615889401307
49,118.53762335823131
50,52.60221130537614
51,23.884310390714187
52,514.7330841232315
53,562.9717202198035
54,609.7630821139476
55,58.06522619896268
56,8.209501952098273
57,20.86135668880046
58,68.75380131970766
59,116.8401267014093
60,201.93167014245395
61,32.52039279409262
62,116.71861280160647
