,Angular_Velocity
0,27.199616796620855
1,4.622018097870768
2,43.485888109606705
3,69.31624205937686
4,49.444681648589025
5,510.91704217163067
6,123.2434825324625
7,123.23354794595218
8,175.74175569789102
9,590.747455719868
10,68.07565515644286
11,58.8570786341617
12,61.44918403519677
13,123.91464781008575
14,138.72089622368426
15,411.2011810247968
16,139.74298945366877
17,864.3474774958871
18,353.9629774441137
19,414.58306265883294
20,117.53708522975222
21,1059.377907667072
22,44.31347136071741
23,450.5036588345543
24,335.4943226530904
25,170.1573828111812
26,71.05553703611074
27,600.7424952987965
28,380.9154088351851
29,508.89172753356
30,60.8933050343227
31,57.86784909090701
32,52.05180178747427
33,264.2500521326666
34,256.47627277786984
35,647.842073381324
36,42.88172890268211
37,51.91783435708867
38,51.59590800513693
39,48.02751013231115
40,541.6483527542485
41,719.3511953494315
42,26.692302471433962
43,41.85127813088092
44,58.85789083402178
45,47.326838544456514
46,532.2826438031761
47,25.926137057653364
48,623.6481282694559
49,42.06979534950945
50,34.00908315480548
51,47.762633768493046
52,20.261987943770176
53,3.83520957167168
54,53.16017805637725
55,224.40120340988886
56,17.288853559382986
57,174.64909931730116
58,47.35614479129446
59,28.2849202427329
60,17.063168898436192
61,1.8499634414816526
62,34.176781801227555
