,Angular_Velocity
0,71.87037177444729
1,77.40944374786136
2,104.11286708901241
3,36.989296886415396
4,61.36721199999858
5,153.16572111790606
6,219.8245582248376
7,129.9402263588251
8,52.11104001179088
9,459.4247749058954
10,686.2902469694451
11,172.74824149567087
12,445.11881011387743
13,789.0396383819314
14,66.64740578155798
15,46.939827012011634
16,125.31929501323229
17,403.81796430303217
18,519.4601525999134
19,514.5830088077138
20,426.6067638527818
21,126.37797000558315
22,178.98015396486045
23,17.48587474728366
24,912.4284798885357
25,634.4777543614002
26,249.48875920711654
27,24.3327811517315
28,86.76253184262512
29,633.3799602871253
30,80.96901986953442
31,329.9713775711399
32,970.4888825854295
33,132.21665496707288
34,646.6210034025175
35,546.4827719514585
36,415.12037877821297
37,453.6839310968629
38,1030.6041357172483
39,69.43385654937262
40,99.29981631706602
41,147.16951327384578
42,464.2340173271406
43,412.46246145416717
44,541.14246768086
45,181.69225452703188
46,28.236330017815074
47,197.44839258238926
48,150.59584958747047
49,47.55752001437354
50,891.2660924032898
51,977.0536033427844
52,390.5786462647468
53,1032.9401321974333
54,74.38665585529658
55,60.17185172459536
56,56.88333698592859
57,136.25983260654127
58,140.02392839774242
59,47.558124744017206
60,6.14925674650608
61,55.191839310576086
62,36.930381651752484
