,Angular_Velocity
0,14.497730324338628
1,50.343170293407105
2,121.62716803057405
3,24.678055148619595
4,2.2096135148844014
5,982.0287474148886
6,435.5460344671729
7,140.50593766881946
8,56.571146945425376
9,811.6084522174476
10,317.41266335541394
11,337.29899077174633
12,638.2279020654054
13,412.13284419002457
14,198.6642099803873
15,271.42979466857076
16,1031.9101022785187
17,432.36003414207704
18,548.2752327977399
19,457.9829871434067
20,880.4004819759216
21,964.406693818439
22,34.6889696672209
23,4.692812221317704
24,657.5367681478076
25,806.6933904197383
26,334.87778743758685
27,30.524384727537967
28,46.24649529738743
29,871.1054914008369
30,126.25472065137694
31,594.9850338966559
32,414.2394476884869
33,181.4139266501655
34,757.3648125892481
35,29.353086404865074
36,131.10219152549777
37,514.5096455684667
38,598.2591021484337
39,316.25089017198434
40,158.23237555337587
41,1072.6496956570113
42,409.66845645604934
43,295.8901850343461
44,675.4852715829016
45,33.43564383073777
46,199.0065486808738
47,228.05176924520197
48,363.2507370976534
49,105.93337669752042
50,85.05634720271782
51,879.6703753864509
52,5.169478260729664
53,31.188539324519592
54,136.74446679333732
55,351.36690445225355
56,30.50507655583832
57,47.65116569682487
58,91.55790111419148
59,17.32296873149293
60,34.79766890328813
61,122.06997676567573
62,77.07760475048333
