,Angular_Velocity
0,
1,
2,
3,
4,
5,
6,
7,124.01199480786643
8,64.83243749733904
9,324.21504669532055
10,653.131698472763
11,187.95689090892847
12,200.9195287507585
13,601.0648864327279
14,148.51414350081927
15,120.16815308312512
16,169.442888482729
17,490.7961480688476
18,280.0724016813785
19,363.220229713511
20,417.1321399652713
21,163.70442548202655
22,456.6632794784275
23,193.10428108467028
24,735.4495333887143
25,545.9398637569907
26,219.83005034433748
27,5.468409296292514
28,142.11266342943
29,634.4931683633664
30,72.54192675427865
31,131.34459396521814
32,963.7413982393601
33,55.338105932471834
34,796.5455501608607
35,438.14898608868185
36,287.75023906288965
37,154.1372997601899
38,736.400792259307
39,7.71530767965155
40,123.22398955872967
41,162.78077801367922
42,512.4098857589654
43,223.75366996669533
44,420.35700721465145
45,213.30089798207035
46,6.813023819847363
47,266.1220141672051
48,121.5313728869121
49,82.5847270520467
50,390.8503587028955
51,699.3698040726307
52,76.69854715282919
53,479.24657954774597
54,40.97184715001033
55,43.16413714484031
56,72.6934414567428
57,117.0502625048863
58,100.00274639358652
59,38.7341725322716
60,7.4189319443480874
61,37.95407990150137
62,10.52223019632797
