,Angular_Velocity
0,102.07769176852854
1,89.16371349430783
2,107.58981000810219
3,2.0115098231305626
4,121.5205946865688
5,211.92040024436258
6,98.17763652962563
7,127.69662713339005
8,81.74479089245145
9,563.379963746238
10,916.7539748318922
11,316.7446941952347
12,39.74857875087547
13,458.8701775607544
14,203.6655295925667
15,165.85209442110127
16,403.0433602248644
17,765.6674338885075
18,189.60922544854304
19,309.6627354608598
20,422.63426066983493
21,228.86440941535784
22,69.18545820757856
23,685.7718978586598
24,853.9851902271517
25,495.71047919608793
26,201.46052129390714
27,81.95562374502884
28,177.44687185135257
29,664.8904597512337
30,2.2223840484371684
31,146.23195504398927
32,664.649494612316
33,81.13145622818526
34,1061.8472907953976
35,160.53132561578425
36,169.93878335856903
37,53.264877290373626
38,601.5131101103001
39,95.6913799477244
40,82.80236953188167
41,255.36163707049707
42,655.5914347680756
43,279.8119092842883
44,450.90161134888007
45,225.98988508792775
46,67.58931490870629
47,317.4607119801709
48,93.19681230960266
49,244.66661876314382
50,150.2718447703741
51,621.097469389142
52,65.05412609189685
53,235.1201863888038
54,220.10245838512438
55,61.887913979874575
56,92.53260563655671
57,128.85631385818704
58,74.66489755002858
59,30.634130683139045
60,3.575918969109755
61,47.95947512297282
62,3.776784710134983
