,Angular_Velocity
0,51.67450709240432
1,50.839878774656846
2,61.14859587665602
3,90.83924181339994
4,27.492920524467074
5,935.3044237341586
6,61.90359263175283
7,76.97466334987088
8,261.0879474143781
9,349.1771259653292
10,184.91529560525035
11,38.14137457359772
12,255.87447186908145
13,117.82913430761332
14,192.8933161516634
15,165.44289605674118
16,496.04612936663693
17,918.7283193537525
18,224.15177151688047
19,406.5140349757939
20,640.9263038428386
21,176.6225162166733
22,31.672971879076606
23,361.3287868698881
24,194.25673969808287
25,195.25395811008383
26,46.07054569037635
27,364.4776331412248
28,474.02041961083967
29,333.72241606264674
30,71.72781670095608
31,320.9804854191334
32,53.43971130232906
33,222.18874645463904
34,54.12551028518389
35,583.7686414136796
36,36.86296312945208
37,284.7416735484506
38,124.37949547741661
39,18.22811776984287
40,279.45613611358414
41,534.521675442775
42,136.69296010456452
43,100.21746650010321
44,221.20891683582204
45,29.678236667098513
46,312.5909509113616
47,49.826073311976366
48,568.9158602898976
49,51.271657623983124
50,159.30229114757273
51,195.70462617130818
52,124.83292330626313
53,54.82316402851582
54,34.10236694251421
55,76.95490287386883
56,65.7916373537702
57,74.2344050968213
58,33.67880741921554
59,18.23493292358653
60,57.402379330960116
61,11.850133180166027
62,45.887416251682396
