,Angular_Velocity
0,28.45430387169292
1,72.43593202341508
2,59.02878352570137
3,47.34748655884126
4,19.980366149924897
5,23.138825896795108
6,567.1815563168672
7,0.5047922525796764
8,59.54188391042053
9,430.86534773614085
10,187.6601345513167
11,72.23572352181824
12,715.840411766428
13,122.21008673449998
14,253.35854648985614
15,114.78027052464931
16,576.6939766119972
17,108.06857654226923
18,528.7396029073079
19,502.00617325886446
20,610.7146217209921
21,153.73285681159663
22,33.32561808399081
23,649.6472132396443
24,376.09766088389375
25,748.0805013074574
26,401.2499581500239
27,126.60902469018981
28,19.087514471451943
29,617.7380706123595
30,197.32202723980424
31,863.1075552982728
32,17.959025699894088
33,336.11750814077817
34,387.03796208459033
35,373.39794444901656
36,121.90642610218684
37,600.4940715900899
38,396.04106511079704
39,420.9907518322682
40,117.35632120773965
41,290.17312539858443
42,169.78945239761808
43,199.454833602313
44,699.2461448152171
45,341.0157459654574
46,43.16985973562472
47,124.73200960209608
48,313.09666267393646
49,3.1921984460596
50,275.9617862022576
51,692.2140199769785
52,13.944147676543892
53,124.83175055925906
54,184.83516715834494
55,121.82980651895129
56,55.23044022856371
57,61.15047340467984
58,38.80872123641689
59,6.14502630488871
60,32.505191476477876
61,31.510884431668437
62,0.3214160001206728
