,Angular_Velocity
0,129.1174712799625
1,6.717614395737142
2,53.198862258551195
3,70.19856074775858
4,80.19516607567736
5,78.44926600839077
6,17.061727234362824
7,91.8601743183829
8,206.79065936352407
9,729.2176432861804
10,177.22617608823953
11,252.65154035062696
12,243.63675996960555
13,673.1599714666743
14,120.78099711079982
15,945.9399608941075
16,251.85350611281606
17,381.1260813139139
18,199.4591548186012
19,805.4707854066962
20,710.6224122733165
21,834.8827077054053
22,123.84055506128179
23,15.256286165180372
24,280.26035348110486
25,544.7192432087154
26,85.11302594406041
27,260.1478556711362
28,349.3036522819171
29,1043.7891234825806
30,170.02881534222257
31,456.2293275158886
32,569.7393341217037
33,338.63633388197604
34,784.2558897218901
35,332.6197384154869
36,393.9324105403396
37,339.45288616312666
38,516.5545115247598
39,23.84959037810462
40,565.3193022766951
41,397.9065315817572
42,617.4322353892152
43,207.13642551249748
44,517.5900150574075
45,100.37715166757484
46,110.87159341998846
47,939.7374135010299
48,27.358481482714314
49,232.05460623086284
50,275.1497423153673
51,383.3965848887697
52,120.46883226531224
53,166.66577270998297
54,2.212145174164683
55,30.491060749684866
56,120.32469546179874
57,27.285080771485102
58,1.78637330730735
59,32.74856310989427
60,19.02755200853584
61,1.6544265213820328
62,5.8796396697671245
