,Angular_Velocity
0,35.74501540067473
1,73.54033538279037
2,55.32608925059407
3,14.135834716018008
4,31.758622099022496
5,162.96657135750075
6,156.9095382286676
7,133.0065146152328
8,23.538636273040357
9,451.7231053183799
10,372.0173006177051
11,45.33669149098968
12,437.3060584100176
13,1056.1985863281814
14,143.4148430800432
15,219.90660789465088
16,810.9002636166999
17,850.3383513972481
18,179.68851542113777
19,54.145068348654284
20,384.3776489463983
21,695.622351053603
22,103.63434224696235
23,57.4705375167644
24,634.5502424174357
25,477.73329754066515
26,117.99873589068137
27,235.51009282757897
28,576.0511492536484
29,873.1348661469324
30,14.832159518399479
31,769.9911631630829
32,671.180420584423
33,91.06758688234449
34,565.6704621695608
35,185.362505231857
36,758.2535307862362
37,254.64106913121535
38,437.71034117150356
39,54.31765455195745
40,112.60435479810009
41,412.11318521575964
42,138.083363490959
43,45.40274604677545
44,575.4664165403462
45,23.375719871341246
46,140.33214214461185
47,259.60598702338785
48,225.2594709587146
49,92.4816005246962
50,37.38640108940026
51,983.8228852621991
52,651.4850617517416
53,84.26460900420393
54,82.90561594904679
55,62.515163691993116
56,37.417080421035976
57,35.96743172183981
58,25.20521127549812
59,17.58724503751403
60,8.982542902936983
61,3.570952779287273
62,22.70357295901149
