,Angular_Velocity
0,51.86403575368521
1,4.065860587517819
2,38.67325458388878
3,24.838457952680297
4,50.66120746002318
5,111.5479904785287
6,118.35989764206751
7,69.79877398026451
8,629.0281952695909
9,618.1276078680659
10,621.1777629388114
11,548.7158569014132
12,113.1489811645413
13,518.17938306544
14,40.910256899458
15,936.874334928552
16,107.55781803605545
17,449.7689644341271
18,138.38764076896464
19,647.9158370257255
20,962.1180610959108
21,898.3974576204641
22,14.341431767248679
23,13.165585086990259
24,399.3245326308115
25,554.2987489579143
26,10.551921672519363
27,606.5641646218052
28,778.8334265535912
29,861.8005189641831
30,414.96599805466974
31,413.1445036652042
32,570.284444719905
33,581.7173230694827
34,584.8354319427452
35,562.1292496601475
36,687.6182364719986
37,331.9051782363694
38,531.2094358230737
39,199.22188673932814
40,734.3388469415864
41,951.9007355052446
42,709.2317743524471
43,56.64304703591198
44,503.2407026946636
45,15.878289099210994
46,325.922810061351
47,932.4606738717773
48,82.77005251465222
49,891.0997025737244
50,273.43608466002024
51,322.32873987110395
52,102.23082690210524
53,239.05752457732638
54,65.6143510240126
55,88.46632149987651
56,88.96001076049953
57,14.677572398182322
58,17.866111499020402
59,0.4258333826418835
60,27.144317506800025
61,2.7001714963589953
62,17.348193317760884
