,Angular_Velocity
0,38.07503625976627
1,48.41464661492322
2,146.56015063072616
3,103.06742752915518
4,11.089247325808746
5,21.730054646293336
6,228.35841880735663
7,387.77300254528456
8,248.40430891338303
9,392.2015349196143
10,378.45578092572345
11,318.642777377496
12,400.7525330285493
13,183.80901155044603
14,412.0801018074312
15,385.5124113691804
16,248.02820690684345
17,492.1236596688459
18,127.5061922560945
19,289.72105817404065
20,808.4394060439571
21,706.416963289313
22,25.56624939198037
23,65.54988202023037
24,268.9995234218478
25,110.17631488834795
26,287.79311088498247
27,98.07985135332353
28,172.62182259105325
29,827.8769304068963
30,269.75742928989433
31,346.0929202100141
32,340.2737767961643
33,124.09429910210366
34,338.95703617811324
35,602.1592439353311
36,311.22607058607275
37,421.0906967455076
38,89.85260648197269
39,135.0516365326221
40,325.0440814486413
41,529.9962402070645
42,284.8144653900356
43,143.8646727551943
44,261.0566669145422
45,457.2734782136479
46,112.01435630341891
47,356.44404681840024
48,464.29974239455146
49,408.1235592182822
50,244.5092728238321
51,213.65200836112405
52,378.18693742197064
53,54.72896402314845
54,63.67686609294805
55,28.897518047083018
56,17.02496981517821
57,34.543817123126836
58,12.15689247773853
59,17.13873725388755
60,25.56366505247512
61,19.338441770294747
62,11.259266976166456
