,Angular_Velocity
0,12.270469095904009
1,26.27128076414126
2,244.9472471385976
3,21.671887582788635
4,6.904540641973748
5,39.40092131355028
6,259.80835053564664
7,657.659338677498
8,352.4695668300558
9,740.9437142975991
10,9.368286721885964
11,0.0
12,537.5524084986312
13,378.6786010539429
14,109.76305139908824
15,511.2539917625276
16,103.97928127379302
17,404.2115779525136
18,450.5755308540791
19,299.1126270980893
20,43.634573517186084
21,718.871509851603
22,220.96418852810902
23,186.33182245844685
24,225.9896099654718
25,1016.2359398964076
26,315.06580654487226
27,238.28641503025142
28,905.3678119156878
29,124.98765253674873
30,90.35750827660824
31,507.42577479357226
32,536.930494014647
33,66.42281018383302
34,488.0340618695068
35,69.26950178523806
36,536.5076457243337
37,490.6179311676846
38,498.07181706829783
39,40.853890562868585
40,538.925707631166
41,832.3177146946509
42,324.4526649517822
43,313.39121003276165
44,240.20310910163096
45,526.7473396363837
46,131.9759403639764
47,457.05033747732654
48,905.7618650586844
49,356.88930443629346
50,414.9908449785741
51,380.3099285001182
52,210.49735866492728
53,100.17072075270231
54,27.607797011488504
55,10.95409378412717
56,67.33332783988448
57,109.10396690356423
58,20.72379088840179
59,60.646247723872555
60,12.781482149170765
61,17.59702492979241
62,46.79024867546726
