,Angular_Velocity
0,3.5170980457463816
1,7.423500511278341
2,190.7918816747009
3,111.76981886839401
4,29.256597360226124
5,230.18270748909666
6,1000.6307622395202
7,269.61139452911715
8,405.3211673842292
9,918.5722106230087
10,489.54160265008665
11,544.5782747496863
12,522.2874529399113
13,808.1923246854216
14,614.5142369420606
15,383.33263880119046
16,1053.9323426012402
17,751.4232351244182
18,408.20345866412987
19,641.5532077264893
20,994.1417853892273
21,957.0914767890982
22,42.90888346866965
23,1.0983490090382273
24,588.1480906796312
25,567.9207179501209
26,286.71961891275777
27,115.97979781890285
28,353.3173478993456
29,992.2986105352866
30,200.34862424131995
31,415.5217253334539
32,376.42826096051266
33,158.48102418781744
34,516.324173695933
35,322.9471905777927
36,119.18989400941575
37,505.9998120289944
38,416.7523833906001
39,215.1841473659348
40,369.0055536015323
41,709.5323764602313
42,450.5912342671845
43,172.7662403692526
44,243.86336795171204
45,290.32811560173127
46,155.96298714986727
47,292.0535945797819
48,970.6651146074705
49,725.1249630590913
50,184.8569588094349
51,109.60288964218597
52,1041.4872796185675
53,207.20715321795302
54,331.8553876727062
55,1.8627086467553375
56,25.492314637419575
57,18.412910987916028
58,79.76284573486697
59,45.82810795714778
60,47.73960234891411
61,66.7187237655797
62,12.02600630072845
