,Angular_Velocity
0,80.63772549004304
1,76.30117584631687
2,108.37280035806465
3,27.62424597226977
4,98.16733411346728
5,159.5922044743533
6,167.41756561910213
7,100.16013521693137
8,69.36049686342645
9,419.83436485189736
10,767.6097267332062
11,222.7663153489099
12,127.15880295471261
13,704.931019257093
14,28.640961918221066
15,136.75782703421203
16,29.10556548104852
17,346.34017807762797
18,244.9699284148718
19,203.03295151735492
20,635.1300247914515
21,578.5375358345923
22,34.94821435941401
23,670.5345223502925
24,1030.155324544356
25,749.1891978198931
26,92.05573908500878
27,78.82201225485896
28,178.5980152411365
29,809.5293406344285
30,159.29067355305912
31,151.4680466252926
32,806.7724526204123
33,48.39161832656496
34,770.2965747101575
35,268.4368680058677
36,388.76162225951776
37,12.726539601742479
38,701.3248551605051
39,18.453540262208303
40,135.07790200529433
41,267.44011795456936
42,637.3999806609788
43,270.9884751323566
44,721.1909710757225
45,40.0411468411154
46,44.40264511978467
47,395.8830289059266
48,69.9175141632329
49,133.00352178014762
50,169.3744461612672
51,535.1082159920602
52,202.5420865313087
53,169.6053379895278
54,55.939022312648895
55,87.92825019647049
56,32.1640218489759
57,127.05125823182978
58,99.16846540211704
59,47.602994011306684
60,13.969108081336454
61,74.7315793626176
62,71.98975030953932
