,Angular_Velocity
0,19.6095588922756
1,25.4792972896654
2,179.88763211366015
3,86.53904204360562
4,51.30738192737499
5,279.8069639469333
6,577.8181763610393
7,506.1515776439969
8,109.50265258887389
9,1069.50399762428
10,60.46262913227267
11,190.74326205645852
12,503.7360990350052
13,369.2861328812737
14,56.15793740961937
15,495.185172344638
16,44.8148276553622
17,423.64473029431844
18,575.3487821949977
19,380.39516746861227
20,35.78587653588498
21,543.7000838268299
22,583.3486240212752
23,171.61025216710814
24,481.87911143630714
25,920.5805162928879
26,363.5385986084163
27,115.25404625240638
28,863.1404152845686
29,489.13495321824047
30,114.47952433082882
31,418.7662646825788
32,480.74542938111284
33,141.57004934309148
34,624.2438194101629
35,170.78126668821858
36,107.53702304568847
37,603.6157778411285
38,432.820334857565
39,129.9994551992633
40,625.7144554072485
41,696.847721526731
42,442.5650919452543
43,271.4002371364609
44,422.36802098023014
45,276.0469965848536
46,138.99055092163857
47,431.93031078435337
48,487.9897360627928
49,759.3132665214222
50,205.98219969903033
51,226.60176630385595
52,957.8523972115826
53,38.09038367100623
54,309.0724415245109
55,20.561315585345373
56,71.95191323118914
57,82.96172884292393
58,63.104184481277414
59,10.769668481466029
60,22.965718828489496
61,82.68350493116941
62,86.66166141410214
