,Angular_Velocity
0,99.39510320135643
1,176.29308431641263
2,214.29842139150392
3,29.461281732269182
4,165.6486389350082
5,122.97620634628913
6,141.25930578662792
7,109.69295534274453
8,46.785719756743994
9,474.0404924009721
10,899.56716774643
11,117.27715601138844
12,162.41953855496607
13,708.1477116137543
14,42.18652417727457
15,128.99788546213713
16,45.02717655679223
17,124.34217897969292
18,478.7339205340219
19,215.38245446164024
20,615.9554555430724
21,870.8783085799863
22,178.4651116157411
23,650.7436481066082
24,387.24669223965356
25,796.712367968739
26,108.56751699551751
27,59.716542839334046
28,121.15988666214949
29,856.6035127601374
30,74.69183808241709
31,340.517056176859
32,658.4688577320456
33,36.77750866567991
34,864.8181315271887
35,191.8683882775982
36,367.5654203621348
37,12.86334704714168
38,736.6790071858445
39,15.218506215104094
40,48.50600791590965
41,11.456751491015417
42,617.9113887821068
43,227.26792409284502
44,705.2696180032844
45,88.76895961625326
46,28.765255053893135
47,433.49908254807355
48,393.831995239235
49,257.18195189851707
50,202.96304266635866
51,429.735932329693
52,163.87606056450386
53,14.469474108810765
54,62.355074202163934
55,94.7242348604277
56,61.4591857798561
57,90.14706455934527
58,69.33473982282862
59,39.14484403593053
60,0.20001975861488727
61,100.18123721753578
62,141.98328269391706
