,Angular_Velocity
0,187.59751543471106
1,67.29594104627215
2,104.9754763299025
3,23.011590914377933
4,319.7093531102789
5,169.3713670707093
6,65.94587425714894
7,169.8570762305244
8,138.79749691754742
9,1002.8666647472551
10,289.54293518639645
11,71.21003294473815
12,152.55697885527704
13,320.5210184378127
14,405.56396132794134
15,30.052066275580447
16,107.6086343990478
17,971.0359061606548
18,149.26944436596565
19,391.7893694452014
20,234.53259086902796
21,503.6723212121364
22,30.498595123283913
23,756.9789551192389
24,175.07375930067542
25,365.01316832857094
26,156.4649661536154
27,394.193687748233
28,309.369430573863
29,709.9353058665712
30,8.690452055956401
31,165.76994723041838
32,301.58882336603295
33,594.1412593948819
34,878.9029453110448
35,186.5102538662717
36,23.153333152857588
37,146.39326050722485
38,308.4415890357004
39,373.32463533290274
40,63.09036601640628
41,776.5510770681337
42,542.9276100727737
43,0.4815445793156225
44,277.72243687713075
45,202.6205640494334
46,354.60873772401766
47,227.0587441718145
48,527.4482411338563
49,30.048294450069225
50,35.718097952077144
51,127.17948369526832
52,1.0337425604053194
53,32.63993948405115
54,190.42466949947087
55,367.5919934738586
56,17.489635943230866
57,25.486502279169866
58,38.628206402851006
59,43.96498660949604
60,9.15761908771788
61,68.68557758211372
62,47.20191710923169
