,Angular_Velocity
0,51.27249768222575
1,34.20529160826883
2,2.3323905207652715
3,33.29359457535916
4,74.84819350161258
5,133.30061180728487
6,79.002408423116
7,54.97865770144793
8,153.50092367173914
9,560.7220350293877
10,129.5102643478383
11,135.07761398762162
12,503.86972424290474
13,379.37612193586466
14,193.8223995507558
15,482.13042081085194
16,420.77383959512844
17,212.07030521329452
18,345.98008409195967
19,693.326395186988
20,1078.3761563575042
21,253.19258202826663
22,304.88906818759125
23,269.8895640053245
24,287.6890686131534
25,587.9877514891162
26,102.07451585646378
27,139.40419290387464
28,44.929870491320465
29,721.0095950760249
30,178.79419447263498
31,658.0718001874026
32,295.0460618234401
33,343.3988631121048
34,336.1863677798911
35,560.4646208612273
36,218.3518115432106
37,460.5179020086941
38,411.84162629708675
39,163.34421288876413
40,335.20460395663736
41,63.38910556321293
42,406.2626331761402
43,183.58312304244996
44,565.4109752852407
45,49.58344888199199
46,118.99336382142538
47,350.2957808011587
48,263.8152436934709
49,79.92652894761493
50,211.37579020507073
51,553.9072148786419
52,72.95429710217918
53,135.1914608233348
54,67.91102266294295
55,84.94611798547395
56,93.0059876606078
57,10.38620831120112
58,18.639436759160787
59,23.221133674345502
60,20.6662214331476
61,14.658177808634782
62,2.8080699107896376
