,Angular_Velocity
0,589.0634757723918
1,142.15956030002266
2,181.3182892807466
3,34.1434836949669
4,37.02713660433453
5,87.03336384714501
6,22.33795039390591
7,129.66954267858725
8,13.44805266040755
9,129.55089520707892
10,970.8095872871647
11,939.2556027305164
12,410.65752428977237
13,512.3595566967916
14,373.8372513907486
15,1052.8021582884
16,18.898496257386373
17,221.7684430472838
18,879.8258727940712
19,533.272926643704
20,71.27103579083715
21,81.71602487076063
22,150.26215767132294
23,109.80216448328804
24,994.7721830212055
25,1077.3723508915741
26,409.21354261376376
27,330.7088307204036
28,144.80124548891578
29,1046.8676344793387
30,16.828731245853614
31,1045.6255024619777
32,343.337757257721
33,905.0487265776873
34,691.9848798729115
35,61.64960879019348
36,810.2800444789069
37,704.7973534871132
38,750.2859225576474
39,89.67827003800046
40,495.81029903253363
41,275.859792415033
42,646.4517414570491
43,490.02547972824357
44,151.62428668179717
45,136.2112713453869
46,
47,
48,977.2722074770385
49,655.4862378455865
50,234.86745435450842
51,229.95152024571186
52,66.8402262899938
53,104.08559380126732
54,1.5033166924899133
55,43.66461831256893
56,67.23059697329745
57,87.09826865757064
58,22.11292645853289
59,66.79966296282947
60,34.59462209261855
61,32.07506915965185
62,104.3742686420854
