,Angular_Velocity
0,48.67393279431402
1,40.50775999074368
2,3.4822123877231164
3,36.49774326814186
4,72.0597232835532
5,128.3495154166573
6,73.50178728325413
7,62.210599599818465
8,152.5437504337645
9,549.5077212645958
10,132.8014460363902
11,132.58793693030432
12,493.0448529404901
13,386.13056540666577
14,195.39118882417748
15,472.57432578558587
16,408.69324398113207
17,197.1934027666943
18,325.717541281531
19,653.8706354141466
20,1056.1760049927273
21,231.85217280413232
22,97.0569517792638
23,688.4861686879171
24,281.47712286410535
25,576.1139356912196
26,97.13213387939821
27,132.5273159797733
28,42.88762818040221
29,712.5428750819543
30,178.9141019296089
31,658.3921880714896
32,288.9973106546684
33,341.49186096398626
34,566.6818315059692
35,325.6238487731894
36,215.26797860348537
37,440.6006777843643
38,424.5180878474662
39,160.76298194109086
40,334.26737494800597
41,59.623178325973655
42,397.8356037103314
43,178.1142466429153
44,558.3643808714728
45,46.37518545052982
46,114.82183993424304
47,360.87293624355164
48,252.03063987978578
49,83.15196633231345
50,208.65400520252808
51,539.2015384935694
52,91.56818636147665
53,127.44237562209155
54,72.7288836570083
55,82.19702754359687
56,95.53617871151062
57,12.534914029506517
58,20.0370611299782
59,21.99670847960943
60,19.613936585989563
61,17.096227233826745
62,3.41801381687817
