,Angular_Velocity
0,60.97878859108836
1,23.82129026322614
2,4.925224214696774
3,34.5734374370951
4,77.50036942487799
5,131.52732839145793
6,64.70126760724213
7,66.79478477850937
8,113.5675582206279
9,702.9132540782317
10,165.68623641779953
11,179.06847868404876
12,466.30355669251816
13,420.24536262026754
14,119.36515996488598
15,621.8163665980001
16,441.4725359789355
17,285.1451496565676
18,306.7198062324996
19,687.4278662237507
20,972.7390245791241
21,836.3325884200763
22,51.07049332072841
23,20.922305582209606
24,288.1166978020206
25,599.427295272136
26,27.363148918378158
27,152.3891804150057
28,230.95231078437814
29,989.8467695670272
30,195.33123440266206
31,588.3286251158042
32,393.03031397583845
33,296.5263291452305
34,678.49360738137
35,342.4140259992444
36,269.71652032789626
37,401.55976656832104
38,489.9436527644613
39,105.71831996635196
40,373.97724964921764
41,138.70735019282375
42,504.7295925740714
43,165.48983405300044
44,554.9627754915143
45,38.94328073681583
46,89.76109841705208
47,445.4416900419547
48,282.0820995078784
49,110.44864499214366
50,188.88229751534482
51,540.560996183751
52,53.73067668118002
53,139.48095281198047
54,56.67295854176164
55,53.87559819115485
56,90.8287263876245
57,2.037203628919417
58,5.9766073706836815
59,18.52952625623042
60,18.320664630445577
61,20.39150032960335
62,3.7351884185657283
