,Angular_Velocity
0,47.76937306063666
1,38.69955942863118
2,2.2443585334460483
3,29.869116527968767
4,71.46528371244132
5,142.33682617841916
6,81.34791164102417
7,50.80054500928759
8,139.06243173495938
9,587.4041317847395
10,109.44585753419005
11,130.53083059696576
12,481.4668723435991
13,386.6046750879891
14,178.86796940334176
15,467.39544597649234
16,427.35084100670576
17,200.3865816267517
18,345.9851708575018
19,583.004259749556
20,192.98792160855945
21,244.0423628113692
22,103.11871432593759
23,687.6042553304794
24,277.05005373038625
25,586.1424458686138
26,87.26571511150986
27,132.72968212446796
28,46.20413706070122
29,730.4627663760514
30,169.68861284151848
31,631.6365937929208
32,318.6370967498091
33,328.8037227415311
34,575.835862354031
35,323.85471982641707
36,218.66434157107182
37,446.71998695523627
38,413.45936886282817
39,151.2351992810003
40,324.5965381604083
41,48.99497063404509
42,401.6391942460904
43,180.21263521907733
44,549.5627855031245
45,32.79702136119316
46,113.86282288299704
47,335.91636428731545
48,271.4391866232532
49,70.11147652523493
50,215.59279351208346
51,522.0757618659496
52,97.67063353836308
53,142.10471865413476
54,61.81850244489615
55,81.13940145682675
56,95.37996061627466
57,10.819505926246205
58,14.55730146375433
59,22.818220630409936
60,18.158062562010223
61,16.424602367409385
62,5.351296403675828
