,Angular_Velocity
0,
1,
2,
3,
4,
5,
6,
7,113.06571807676038
8,60.77582257995275
9,14.753133954080806
10,387.1414422609382
11,25.118631228291026
12,1034.7044197846835
13,1031.137550198932
14,294.9709108264292
15,27.106129810167083
16,83.21811863103059
17,244.8192369062771
18,595.9021365535666
19,351.08289964728874
20,187.89121634781364
21,144.91490983651897
22,407.2764736812238
23,261.03479663876607
24,485.7662922175806
25,607.0430294508936
26,586.0226886258721
27,74.25327048946986
28,77.00407017731612
29,362.567585159544
30,165.6341941384117
31,1001.1830096481896
32,575.034740802772
33,181.23255097578772
34,416.44870003074544
35,976.429805775565
36,42.34048426630353
37,872.0311489885147
38,270.8681752788867
39,146.32874647022524
40,134.76248798445616
41,216.3166466818883
42,78.21706532295266
43,215.08544778431497
44,745.6760429391829
45,891.5276666179207
46,31.40479390323107
47,67.15381455284346
48,234.51100303302613
49,8.518661056458168
50,724.665182313207
51,352.3279158361424
52,510.0163819640649
53,254.64901363261114
54,188.44554441294156
55,158.7802941729811
56,75.43571096683628
57,110.79132052236653
58,99.20725941616335
59,35.002390748177184
60,9.983385064534819
61,26.58407652221212
62,17.739231651802523
