,Angular_Velocity
0,
1,
2,
3,
4,
5,
6,
7,78.09606472050179
8,165.074795201865
9,508.6323036503828
10,195.41287705153178
11,139.173641197098
12,483.2336447148715
13,409.59520830262454
14,189.36161997207657
15,507.70233916773435
16,380.87185346300714
17,186.7126824445722
18,276.02530779356636
19,588.9856407281344
20,1052.6806329573078
21,262.55876235404367
22,485.06032215764606
23,83.0383092780052
24,246.03203699193665
25,596.2984284454822
26,81.6873421467883
27,119.90804898166503
28,73.93449365591665
29,764.970697970344
30,170.78650507172148
31,670.3076186680601
32,296.28275831690405
33,332.6620398459778
34,572.2184119411264
35,342.04733882130597
36,222.93077025298317
37,408.80783845538986
38,458.4089129997816
39,150.9746051700734
40,349.2819108996707
41,76.05643910488827
42,410.7149378183644
43,165.74882066234906
44,561.9122099570445
45,30.756208823935047
46,105.93193917384613
47,412.93304924368954
48,230.3338644750101
49,98.41590742009653
50,176.11075773639317
51,557.3816753285303
52,98.65979823059486
53,122.64973536426615
54,68.21861810273775
55,81.30177193214872
56,94.92842239847876
57,16.121552606302995
58,16.386673980709148
59,21.81268718300007
60,16.195035643588433
61,17.016476540497965
62,3.1854838276330786
