,Angular_Velocity
0,32.52934554575665
1,125.90936865273423
2,160.62192631437608
3,89.702966215994
4,4.744419422215955
5,13.542779451370954
6,88.90229592747534
7,438.4245515945555
8,442.4795744024804
9,135.38684306886665
10,447.0089191810149
11,286.6921181876402
12,197.95169412290116
13,158.5225907595728
14,689.2895337331445
15,266.96273048636965
16,241.433139995594
17,588.5046802871718
18,142.98640349017276
19,95.43604773413969
20,691.9380392793555
21,514.1375329498642
22,41.62499487737913
23,233.8457083411201
24,6.497826884757844
25,66.31177657466992
26,532.5200081839332
27,1.892000875116674
28,112.40908357760435
29,587.3621832120723
30,229.74787563990378
31,133.73856394862878
32,941.9644763785489
33,440.38520967965496
34,365.0759860575085
35,571.4579660412182
36,271.4194729416298
37,183.54952253006556
38,121.48892168333234
39,770.5883845408492
40,352.3258872924686
41,503.4726934884443
42,208.64710352753806
43,380.6835516212685
44,197.15010691396049
45,838.4545570607988
46,173.4004734728117
47,291.04500651372655
48,488.3764505580914
49,377.27026507845994
50,320.332350524728
51,151.28491642132735
52,51.54481145700207
53,44.56315689561686
54,463.1310886736415
55,37.44168408826445
56,25.66335835113302
57,33.41682087111814
58,10.81905714818259
59,11.28188576069186
60,3.985422755126938
61,20.70900095710984
62,8.04303449771731
