,Angular_Velocity
0,94.08845890703094
1,80.79001346283637
2,37.55115522316664
3,87.76993100012305
4,55.860335270031676
5,28.1920831037971
6,20.57475619403596
7,155.35239382529926
8,255.87798973575008
9,411.15897438307576
10,265.65634439935496
11,154.02461303354175
12,262.1444348641171
13,861.353815076245
14,346.7383781959544
15,479.0201771841692
16,285.84141022557367
17,9.895279565047929
18,6.369330783022178
19,418.97461878569476
20,907.1977332373953
21,701.398822948632
22,28.898814263997778
23,188.09020745098044
24,98.74147425315708
25,1030.594309156837
26,290.30379647595964
27,180.44090330793105
28,84.32181747227897
29,806.6300091506529
30,126.07786848523861
31,949.6096238838394
32,317.89147864142706
33,532.4824690389058
34,590.9453128492133
35,395.55222728472046
36,243.58429557601204
37,223.65910458591125
38,879.1246791975701
39,269.2970176487384
40,446.5034143731575
41,131.6208087291617
42,484.17217769828227
43,78.59407968206837
44,907.1497976216539
45,81.8293625131067
46,274.23061838262186
47,442.01141883906865
48,308.4445534239361
49,166.626923509979
50,82.65093325748968
51,891.1670276125691
52,30.56702657201507
53,158.01246002328816
54,88.31642260248655
55,137.05897104460212
56,117.77804867711068
57,7.816507537597679
58,10.920188381053228
59,24.87921367000451
60,2.2907430833256353
61,16.830108201688514
62,11.709458159160574
