,Angular_Velocity
0,12.569600997702818
1,288.4293934127357
2,70.18336761870592
3,42.080249474692764
4,22.877248963078184
5,13.88744370104594
6,108.2904531963602
7,353.0645736121128
8,157.20759888435748
9,298.85228856617186
10,420.53631182060036
11,12.34632850351331
12,441.4533150047493
13,217.0097303888298
14,1001.709593275368
15,83.53847559782145
16,323.0403508010677
17,293.2197827707858
18,387.90090690465155
19,714.0213302704228
20,488.7539661107214
21,537.707322691255
22,75.36870196487908
23,451.20551083329246
24,93.06492713416966
25,300.1061591821203
26,863.8546140918319
27,154.1298401140316
28,831.4920431876185
29,59.110131543603224
30,13.398992584599887
31,286.0444042448975
32,162.79679350096413
33,792.4122867830773
34,531.7251724862305
35,378.73737098356406
36,82.20960347203291
37,518.3220521955567
38,11.947293052216354
39,823.6559832557657
40,270.013491976435
41,473.2381942814855
42,70.19469742764846
43,171.8557807714641
44,437.38156366507246
45,116.43513453722449
46,753.657076649253
47,247.29480884466236
48,381.37260679132015
49,7.019628843451389
50,309.8810466049866
51,132.67574041391308
52,188.9547017875074
53,135.58215658917717
54,281.24887772383454
55,394.9597005978349
56,109.95262571447068
57,54.52440079576832
58,28.817550366748446
59,9.883363159322037
60,29.883081892968935
61,56.08546685798938
62,30.325422100799116
