,Angular_Velocity
0,43.937990756134184
1,0.0
2,20.36048249424348
3,159.72198803436189
4,48.69164881435772
5,272.1352189837313
6,145.36647190772504
7,34.948214359412134
8,55.56782408865884
9,170.2521671348166
10,567.1342482970252
11,68.01911904477168
12,68.01911904475885
13,321.5172878160333
14,173.89070035035573
15,62.1678894189436
16,258.7930265281451
17,89.98393739944123
18,84.4631348198716
19,252.6381022746135
20,265.21699030850095
21,252.82237022019754
22,35.69514079601795
23,260.46680264692117
24,114.79673895826626
25,514.8675855353669
26,90.86567765050913
27,0.0
28,406.32529971534024
29,1024.6624984866685
30,109.33488539253065
31,133.1563046869402
32,914.0923024364562
33,17.663228566845735
34,241.9012214235809
35,291.49300371618153
36,18.66822126894228
37,87.85367947651915
38,365.68285992799406
39,36.35801758524929
40,28.817194982364818
41,132.28768478136251
42,215.24994811238392
43,140.84604414529883
44,356.09599225768284
45,145.36647190772493
46,82.78139242501601
47,27.896109815487964
48,228.64580963348274
49,109.30760009748849
50,392.7825551980382
51,276.80357158593324
52,56.20023076312794
53,920.1608198916866
54,690.2822758487804
55,219.17313220191102
56,48.691648814356626
57,38.090383671007956
58,122.14760278841591
59,0.0
60,49.207647239419174
61,35.661637255125264
62,196.76651701885237
