,Angular_Velocity
0,58.68860669994086
1,80.65771674730296
2,88.37390014932116
3,61.20824162966196
4,19.68873880028226
5,99.97746733568574
6,318.8947894895207
7,152.17997413246337
8,9.983385064536131
9,565.4222294357864
10,729.5489733353161
11,45.59314459259025
12,976.8892517080536
13,506.04078218267773
14,566.7793253169835
15,34.306169884777795
16,196.24670186368164
17,399.68108229489235
18,935.8470540007245
19,244.87368463237428
20,422.2051871531976
21,189.53167943043636
22,47.307354535350406
23,555.3759331203311
24,893.3969035254655
25,774.1459275094313
26,748.7099739203418
27,35.193260965751904
28,177.4494279626325
29,131.55242796294385
30,192.01243155485292
31,995.838857492892
32,630.5665692794295
33,335.6244415908847
34,90.5185256289096
35,470.24602655230086
36,29.627266535576414
37,935.3196534586586
38,356.461207523885
39,307.04888994768606
40,65.20602478288026
41,406.15366176898345
42,116.55521970464143
43,756.9402260832501
44,866.7274879799536
45,619.3271967969316
46,193.75476340755802
47,22.767920721520383
48,243.64282995131475
49,12.110574483655617
50,1008.3778629407999
51,571.4361873366411
52,313.39338449247566
53,126.18961833646533
54,271.2833873737738
55,286.72521618368916
56,139.79300833863175
57,141.15781120015922
58,152.22775248941076
59,47.57199174588154
60,7.2252538309330285
61,13.997062715510806
62,18.633952615105954
