,Angular_Velocity
0,25.640996002429567
1,69.81829036369487
2,62.34608003318827
3,54.47080700317622
4,19.746073331871536
5,67.14135621486601
6,570.3392853623193
7,39.67255486496041
8,53.61244094444249
9,455.8378808723097
10,163.9212792680114
11,72.26551435732809
12,674.9108336094847
13,132.5626072545829
14,212.58408060535228
15,120.0058016857266
16,586.4478467723005
17,100.46672842149808
18,507.5424134420244
19,196.15663142861214
20,49.82479589127733
21,188.47054954290104
22,38.768339781165125
23,628.931630207696
24,353.8300982820989
25,729.9184196129089
26,345.1427556313394
27,126.69850755963262
28,73.02566374995358
29,690.613096701375
30,175.28960204543864
31,813.5628749599429
32,71.69628011723958
33,310.78634183910293
34,390.4937985715115
35,377.6723464273514
36,126.18193458265326
37,569.2121864011118
38,392.52434721498287
39,376.61713574404797
40,107.95392824977867
41,309.06367027991547
42,168.52877065192857
43,195.0043634565364
44,666.1976686526325
45,284.35721036119475
46,56.91915428632715
47,113.36917977144903
48,316.9598559750764
49,18.484580268106093
50,315.7012021563431
51,629.685137006253
52,13.688201135801066
53,133.74625870168867
54,164.2622781726737
55,120.50596831725515
56,53.676671676608656
57,60.26226636971246
58,29.758669339926577
59,7.791187609454115
60,28.994185972733924
61,28.8902056665067
62,5.851841734672272
