,Angular_Velocity
0,1.593808825637517
1,45.25540927812407
2,29.459824323476546
3,25.869544414517982
4,33.697414995591984
5,205.47439462476567
6,224.88625514528843
7,31.876023676849684
8,147.72026954364853
9,431.64325613213884
10,297.2028426807832
11,196.56243782862578
12,522.4026984787739
13,167.29935781333296
14,121.67133988521557
15,254.06927199886053
16,536.3342972885414
17,225.96072662800157
18,288.61262396876356
19,611.7195857040698
20,268.87095294351406
21,106.87439452393198
22,33.90602756277654
23,695.6180741925315
24,330.0700790138527
25,598.2081374154133
26,162.2546956593817
27,223.56232743921706
28,142.32728849745456
29,732.8459946601198
30,215.4327493787347
31,644.3872741764952
32,270.14607633215127
33,409.0778470758046
34,436.6275417457767
35,363.0378170103213
36,221.89065520588107
37,474.34720504577876
38,403.00243748452357
39,267.5723764801352
40,249.41576599662775
41,136.65500970295335
42,425.3811944188649
43,120.18278175920021
44,544.6839593431076
45,107.86789396124531
46,127.21831651112575
47,66.20393347918925
48,443.907429623861
49,121.21595272832226
50,230.87703094069417
51,572.4884710978993
52,38.50845085413492
53,147.51114394143195
54,130.91250192207744
55,58.69901286121683
56,70.54873922418327
57,35.20169805480834
58,13.209955425301958
59,4.761922756080018
60,23.144160123412988
61,23.648850927272317
62,7.470515073479151
