,Angular_Velocity
0,23.654313178948648
1,83.44263690540788
2,55.151868417665355
3,34.98369806822605
4,15.163665332804856
5,77.67084357458285
6,478.4695127667984
7,7.2445096183544e-06
8,41.287005869501016
9,530.3452275318741
10,270.4143013477707
11,84.8692844945442
12,639.7073976718542
13,198.3866274145337
14,107.71909984430263
15,169.377931566725
16,739.1350584533033
17,177.70771499489547
18,464.21831301973884
19,459.9275387427593
20,750.7626194241047
21,851.1940955329278
22,7.518480452200846
23,50.2434083393979
24,295.40115725475164
25,872.494777136209
26,333.03855607158386
27,111.41774444651034
28,483.2333807435712
29,952.300913059827
30,183.66333698668757
31,803.3908455996141
32,205.35682397474315
33,325.14986611474654
34,551.2366378631096
35,332.0478949146276
36,155.16599646297706
37,554.576294628678
38,528.5833247905541
39,418.6150758018399
40,135.0611826095343
41,254.03355489247053
42,282.40701308877277
43,153.46145978000308
44,745.8180061124245
45,234.06833409923289
46,26.671350802539294
47,192.61940092439892
48,346.5700445755032
49,19.622794719952058
50,140.46842235629782
51,724.2967802189333
52,71.62425648126465
53,119.47345977068076
54,181.90116645771934
55,120.76754501142833
56,53.548206185714626
57,42.36737887789664
58,2.02917052335128
59,4.908017852433265
60,25.079916305847544
61,31.09085128590084
62,2.225694451454485
