,Angular_Velocity
0,57.726422621776116
1,1.0383321366868292
2,249.74235748935638
3,153.25028664640064
4,31.681390513898247
5,32.21492191830659
6,66.11413119902416
7,523.8881783902665
8,718.6423762641971
9,37.62025226400341
10,517.8396745368585
11,574.2828309872735
12,137.33638847961984
13,56.11775006227381
14,446.4989193786905
15,610.6773419815542
16,889.957671897482
17,810.9434888063197
18,37.74760053080272
19,118.0374485947802
20,683.6844912609026
21,559.7687726143545
22,110.77127061814024
23,26.0940545062539
24,183.5240582061645
25,122.04673381548962
26,164.62179764973928
27,182.91343889217057
28,280.95432274511535
29,791.851736116003
30,415.44121057331864
31,263.89853972533905
32,145.06153646648224
33,6.405495308420687
34,69.02823643911292
35,906.6972794379425
36,476.25506805932696
37,173.58937943002564
38,149.4831590437913
39,296.2892639282704
40,551.3682998355155
41,322.4668151076476
42,424.46535560618264
43,624.6720386280066
44,551.8932793084759
45,496.43726431095723
46,252.96252060968027
47,397.98172877875555
48,391.293884488603
49,633.0900688753111
50,375.5075873421432
51,315.9119993108592
52,95.74711484802052
53,41.95883374099393
54,38.89803454956065
55,122.13699186976095
56,39.41838117440063
57,20.660111052301854
58,22.205001940824022
59,10.080570680511373
60,19.44606734095255
61,13.700585430141567
62,21.74827201374669
