,Angular_Velocity
0,1.5685482970047786
1,44.40264511978497
2,64.93224027274461
3,44.28204541135785
4,2.907806605741504
5,254.3771622179858
6,342.1208712498184
7,44.88395956514573
8,30.674702121675903
9,697.5691816136181
10,167.55170122435146
11,121.9339070371615
12,558.5949481224559
13,260.8371866593898
14,53.14744815182109
15,154.62938818439062
16,906.8293989834841
17,286.9796439633078
18,392.88636245524947
19,456.95396311630674
20,859.580265786234
21,988.7652737743683
22,7.470981729687443
23,20.111838587227492
24,352.7010195131845
25,715.7470671664144
26,170.2384802173496
27,147.21964533573643
28,438.9512246045203
29,965.2330487656442
30,214.18223414385616
31,599.8121068562928
32,345.796522673864
33,213.7099845977174
34,629.0882660614684
35,343.47549375472113
36,176.14416514596812
37,469.2860597623979
38,544.2892884969745
39,294.4219377080335
40,117.52385344559436
41,248.66419889676098
42,319.79966864423585
43,127.75153718483324
44,641.9731771769701
45,97.51470143440191
46,18.091605570364926
47,188.88091251371293
48,312.5285491221448
49,71.78956207914119
50,130.37920610685035
51,629.7511813270957
52,61.57966919492488
53,126.62634223902919
54,144.1555947708803
55,63.96846009898017
56,29.897301929683845
57,36.997190966416895
58,13.876317845631943
59,3.8274184445265975
60,30.55794602622023
61,35.13357035363218
62,2.984233831468439
