,Angular_Velocity
0,206.88931753204332
1,337.7613901454045
2,99.72221627315952
3,16.542239396683165
4,234.53374395667467
5,24.382955429866236
6,96.7417090717647
7,371.3786813429455
8,261.036751929579
9,171.53946279610525
10,505.1887686217961
11,1.9165848550237143
12,234.29028811463593
13,148.88165008113714
14,921.3731245986467
15,325.7524066998248
16,292.92628849437705
17,504.33493536520297
18,225.76961820535627
19,886.9618686960796
20,768.4080217148302
21,721.5016191549037
22,20.799786857214887
23,1021.0495957367808
24,84.4849014098684
25,153.91626206246775
26,66.6213450603244
27,1032.0045432027948
28,993.8525352038102
29,5.1424065171180775
30,22.67426413927563
31,131.68518879677617
32,90.86584686180065
33,650.8231409557593
34,615.6388568891274
35,600.5206906669839
36,10.23256232549367
37,284.93416156099926
38,4.89936959241219
39,369.10862345378433
40,691.0148770492427
41,837.9372921870646
42,38.93929244763007
43,160.12185570197818
44,212.42815577126814
45,45.53293069004911
46,1043.6758353803416
47,185.54278059399897
48,583.6257514244666
49,0.47641664389001054
50,217.142838356711
51,5.330536574566224
52,105.7527292827786
53,59.438073631087974
54,172.15976852974487
55,182.76543850362637
56,75.87706278493187
57,295.6770016052387
58,456.7818813689661
59,187.67208416385776
60,138.2900153315423
61,389.20794162638464
62,264.0994754159992
