,Angular_Velocity
0,0.6333839567810559
1,39.1281422739264
2,31.20198157344217
3,24.296596167625836
4,35.03182911515775
5,193.8058752632591
6,235.6316403241104
7,32.575240982774744
8,177.60850732406922
9,391.0041282604538
10,322.5495337344006
11,207.47668296754392
12,560.9332322537379
13,152.97138924519263
14,151.35158908594116
15,271.31860696064075
16,522.0657875041736
17,239.545804606256
18,286.85708878938664
19,622.3231331270426
20,960.0897576945215
21,105.38253935217739
22,381.96197701284086
23,277.9250322537732
24,350.3641179143118
25,595.0853932810674
26,180.13501770843635
27,238.85044388900246
28,149.73092568451787
29,726.8296912860785
30,230.50175789179957
31,672.5393544977052
32,246.1316042562663
33,432.18321151461777
34,183.9793375719079
35,978.8473088031817
36,224.22783591679445
37,495.64648208919965
38,399.47710711108545
39,289.51303400202073
40,262.61489690476293
41,177.79853506771977
42,449.72802799906816
43,124.43426008598243
44,562.404039234327
45,132.36876982227102
46,135.49114924068107
47,79.70345190025053
48,436.4379187242812
49,140.082204128947
50,218.87725394632008
51,614.3099719396901
52,12.524973045090016
53,138.3825560768087
54,142.5901642697666
55,63.55680787595099
56,66.33123782688392
57,34.89150776120424
58,18.453517311783312
59,4.1832660518636
60,27.00199898898767
61,21.962256728211187
62,4.457278292343208
