,Angular_Velocity
0,5.738762145482022
1,44.65999975693298
2,30.00961150825749
3,16.672159089156978
4,36.00412305713389
5,190.91562960715763
6,205.49458666895285
7,6.781491012065977
8,109.15988755981984
9,558.5000713676237
10,288.01390130352945
11,255.43614355104572
12,532.688681072711
13,147.83779245527904
14,98.06353968463836
15,271.5031834077731
16,582.424825275232
17,83.42611983494227
18,257.48430821862354
19,798.9533537490428
20,220.75189870616185
21,777.9583992200795
22,2.074026516421941
23,123.63535434760036
24,423.2449166000378
25,602.5057347717553
26,131.99899086855828
27,209.89214078804656
28,338.46468196626154
29,987.2131934993176
30,273.33596569968034
31,567.2523496196407
32,239.49960647050088
33,309.93546787452186
34,507.0277205383314
35,10.666547471243478
36,24.56970720963363
37,410.7095767078086
38,310.2032958091716
39,199.56289684059337
40,253.74109774664768
41,198.0898810942932
42,465.81186515126257
43,148.75108032022115
44,464.15130795883755
45,66.55277171276131
46,118.9021837639877
47,46.41499434296888
48,522.3836185182095
49,188.1342509152454
50,356.198854159373
51,365.19647607824834
52,9.734714024330156
53,128.4781102664837
54,93.12037461228311
55,14.953496691509505
56,88.27958882576472
57,86.23020316089399
58,13.875619511462263
59,2.9199005443383386
60,10.488928612449508
61,16.46265733390661
62,8.699276686518312
