,Angular_Velocity
0,35.33510982878658
1,16.131103908695454
2,32.27995743321795
3,11.327073445688116
4,76.85317222347695
5,242.83138560342323
6,132.68013371621805
7,8.38517080182009
8,207.07193356234046
9,1066.4475897406433
10,503.5512894979153
11,469.03971697157147
12,543.9273046659666
13,327.81175109240684
14,152.34814675475735
15,470.5051746525335
16,707.0018058618394
17,444.4726297037747
18,407.66520068772746
19,887.85737162213
20,909.4841405337258
21,980.7514829229204
22,27.78508880648207
23,0.8925806330366166
24,579.0135736900438
25,548.9477803765192
26,127.27411841157885
27,247.71384347660918
28,370.8844450527174
29,994.623535597961
30,183.34875183720501
31,553.5628589141245
32,438.7255725956907
33,410.4340748054947
34,584.5394756268008
35,3.368015447041311
36,79.18100042775177
37,478.20991904207983
38,482.3332025653879
39,245.9306746391565
40,352.4661139526091
41,1029.0493420168514
42,747.6826068375796
43,145.00859160168878
44,552.3784476945029
45,23.36990981072895
46,91.33874714607605
47,102.93499244775978
48,943.9169958728672
49,541.7908648365117
50,170.59293225484964
51,697.3435174610966
52,49.44997439499235
53,115.20865317636047
54,162.66407844468574
55,66.80431865075033
56,70.50271562630964
57,25.90872714706244
58,52.1325827977844
59,7.253700704369716
60,29.58089352706407
61,52.32438319775825
62,39.6054757419385
