,Angular_Velocity
0,212.7403969256009
1,22.9990153470845
2,82.46588046588063
3,135.7060190859188
4,116.7359109153581
5,11.853763967262008
6,143.09627153095823
7,178.8817948359596
8,113.01821892427583
9,768.134731206999
10,127.51840816062933
11,35.04352630601859
12,443.72187471790585
13,592.5259191990322
14,47.458908612379254
15,927.9523650769619
16,361.7073555521915
17,266.32837527082705
18,756.1875477004188
19,396.8535769510983
20,26.842315120416743
21,898.447354423239
22,104.49784297997039
23,191.07818380559402
24,168.17658582579014
25,260.8832971031027
26,730.9879616566969
27,325.02515351012005
28,108.21494523733865
29,756.8868924197546
30,24.25707257998323
31,533.8322692311557
32,592.8953709755245
33,136.03353570592054
34,920.6085140039419
35,191.7746058858133
36,153.8135507579874
37,338.958059546549
38,499.92763735713976
39,175.30846580735064
40,542.7378131299138
41,20.142178504147616
42,524.7089594978827
43,178.38117996604464
44,702.4198622107942
45,271.74874360905005
46,230.57239054016506
47,773.671495369759
48,35.50491744137613
49,156.6793089637812
50,381.50791562338975
51,457.84944410874067
52,88.57176906447616
53,85.55466910159289
54,47.00723532675093
55,126.1763558227285
56,149.88006018865303
57,35.8345975825542
58,20.21120256010849
59,83.8578587643408
60,6.514551314341509
61,13.81292504819942
62,0.18862934756426963
