,Angular_Velocity
0,27.770484262219103
1,117.51440942531853
2,2.46119952681504
3,39.7664450522908
4,12.80654595252046
5,29.76929342148851
6,50.14660515223298
7,170.12916831559735
8,431.9584872639516
9,80.9244906673824
10,495.71690550620605
11,234.76756485103317
12,210.41670516187156
13,79.83111798578996
14,787.6484749487938
15,283.66352774728506
16,313.53701248153345
17,15.832661055298948
18,49.0746855817588
19,324.30295504204224
20,986.4185231365539
21,586.1647451697175
22,33.18972133841062
23,234.90678577320313
24,33.75252552869463
25,842.3181850139727
26,463.6992737725918
27,281.4596082613821
28,166.19967666463333
29,868.9301050660324
30,221.77101154079136
31,963.8582043917213
32,157.34911295507075
33,732.4288659401519
34,457.0345116799815
35,495.3186230542093
36,306.5982068561726
37,48.25441771990795
38,947.8997736254136
39,537.338856132603
40,360.67345884094277
41,808.8791352888143
42,507.757794464758
43,70.23037230963753
44,949.3271908680925
45,257.71210541531275
46,274.477034239297
47,284.69528651818337
48,417.33381958466055
49,294.27437514593043
50,237.9534652508543
51,600.7890326014685
52,228.4078724935067
53,154.93613547998225
54,253.7895671311356
55,132.66722617234413
56,96.09267164467275
57,35.74780101875779
58,3.780439985448206
59,12.2669792538647
60,0.0
61,34.88293296674068
62,17.18806479739337
