,Angular_Velocity
0,37.37681147888974
1,4.695513943709117
2,50.73360006968781
3,40.006824571621955
4,76.20085529409569
5,64.09396314834264
6,25.863369601271245
7,40.910307085009265
8,900.0913153747249
9,243.82248435314065
10,587.1708753567249
11,472.5043012954212
12,228.819101222734
13,293.44670072496126
14,17.775657143846022
15,659.8343144733778
16,346.10126240819363
17,477.70927266720776
18,159.02094983928944
19,578.9534756738027
20,1037.95503439314
21,678.566549905119
22,77.967849773261
23,27.283796031822064
24,242.28745196618272
25,558.1742602299194
26,26.694593056243704
27,493.04832056956957
28,442.19240561073144
29,979.9762788001076
30,394.2590932687551
31,613.9451407604403
32,295.21040302704796
33,537.2039527694393
34,409.3772835397887
35,726.9161238646466
36,664.6688256620669
37,263.380266355859
38,535.75901033045
39,156.34338294517147
40,567.3296316895144
41,905.2559737499431
42,1002.4653119979786
43,65.6801200808269
44,384.2097246603932
45,106.39210475364762
46,396.8945973756568
47,671.1218567147547
48,65.94808069875555
49,589.95524404492
50,44.50008612393894
51,631.472577998874
52,33.131140694553096
53,249.68420136644104
54,59.66306453869162
55,93.00169059900807
56,82.20946404116162
57,25.100448118813734
58,13.85651329754073
59,11.24393482127322
60,18.172191470043252
61,18.501962966821452
62,4.100780548508048
