,Angular_Velocity
0,4.18581761753953
1,64.29847325037761
2,58.45843858272919
3,52.57190063727472
4,100.54194785070638
5,349.5704601003777
6,94.15803001637804
7,117.43339655905656
8,117.433396559056
9,613.9079410500077
10,1001.8216209825306
11,130.21284551643623
12,57.83672593586763
13,344.51133856429874
14,326.9970765876308
15,127.61290882754054
16,587.0408602441179
17,1058.5602469879395
18,188.46672161297897
19,79.39805940328966
20,812.1352189837309
21,535.7295620325341
22,111.03033922000748
23,946.1058504504354
24,157.58496653236213
25,399.46139014844044
26,233.4372919643534
27,91.82053271659163
28,22.901597979802435
29,521.3688399876606
30,173.3145385988291
31,154.25015632005
32,452.30448102623865
33,213.27124065255902
34,427.49872611350014
35,130.280359060517
36,222.38738507792857
37,19.794488940251437
38,464.09755915734326
39,190.80987194766766
40,41.65050816524176
41,268.0726339302437
42,129.77331858964402
43,329.8261316439707
44,407.7123152186379
45,239.42858729865694
46,176.83793791534382
47,226.5083029158741
48,162.8167185858569
49,180.5248212103887
50,118.64779120250184
51,404.51879348198287
52,36.50135222066948
53,178.74859589171473
54,103.35271558807632
55,402.0959965048873
56,98.64227713008167
57,97.3046598764027
58,8.508945848369613
59,20.811884071175143
60,15.839173031647722
61,10.897876711900368
62,4.027245348054839
