,Angular_Velocity
0,30.931689224440245
1,51.1443203599659
2,177.02334365701
3,72.54335475097679
4,17.014060039730413
5,7.953625894200835
6,203.17506511728206
7,378.98798108857136
8,173.31453859883092
9,461.6595032348556
10,326.2125146572189
11,237.36336998364635
12,405.7500904151159
13,232.15401116101535
14,102.60284617908714
15,410.61558016776377
16,190.16782403819923
17,504.3603899752151
18,74.93364671417878
19,98.45459135556094
20,669.8436153483555
21,633.9470588249941
22,190.16877215080504
23,91.8109677946678
24,199.98012006558517
25,48.01661272152224
26,613.0135443046694
27,104.73978846429684
28,482.87767029627497
29,241.51412851129052
30,165.78261222878888
31,289.532321001401
32,489.4236114186755
33,104.71506306484675
34,391.8237387141065
35,500.1738519056879
36,177.11298986013375
37,401.7542400723542
38,382.42925617074627
39,59.688546136905444
40,365.4690383143569
41,542.7641998537102
42,218.8465488487214
43,98.5090003276173
44,143.63483548872674
45,414.4676778296895
46,42.09334240917942
47,377.79958777455647
48,520.3565608542976
49,316.5191781761132
50,80.43845913437397
51,184.5354611444007
52,219.50768749692318
53,58.00350000806465
54,12.264604968025369
55,20.66117756231
56,4.564039025140789
57,2.4474542090511706
58,6.929419204368205
59,8.706054262024182
60,18.205766002326715
61,2.924694575347466
62,1.6500407544050713
