,Angular_Velocity
0,20.454250102088018
1,13.373744551047507
2,57.306810616715396
3,122.90776425490948
4,55.28766967821121
5,774.8999671931098
6,376.92844796448674
7,200.97326236347592
8,135.43052235684505
9,933.3544375778059
10,525.7719941878015
11,71.69854332896298
12,448.51124392770566
13,152.98013884706776
14,81.94203971101963
15,120.2937403332366
16,779.3574827246056
17,380.1018799940889
18,259.87438583304595
19,259.87438583304595
20,540.0
21,282.59067381819375
22,43.89801151313651
23,430.64981340516925
24,314.76543788739093
25,390.4536554268247
26,69.45380854118223
27,238.55802804653828
28,72.21502247881955
29,312.2265345932906
30,163.4413105345449
31,455.6552879120887
32,120.49419947944551
33,151.69959945235152
34,13.59098927440896
35,484.8295629536454
36,70.08109690219796
37,379.3739728406662
38,268.3575781220737
39,115.2081890127827
40,83.00821940144965
41,273.83163983523815
42,110.23676323313127
43,126.2907296496648
44,433.45215296770436
45,90.76316820760717
46,133.89504488699973
47,10.349074719563799
48,253.98679112780044
49,12.05677998634162
50,267.8805889533912
51,399.74484747982666
52,50.63205946636977
53,32.55607531024723
54,92.94359556632041
55,11.318831688761321
56,87.72069862771319
57,116.53177453852231
58,46.23275978329228
59,22.190753704770707
60,56.85499626256272
61,47.63497081158221
62,38.7514314044793
