,Angular_Velocity
0,74.16060325612229
1,130.53191012281985
2,69.951745810924
3,21.544006004848722
4,7.706304884627731
5,45.2902332474044
6,229.8464818667944
7,251.6193891936407
8,84.61395492228364
9,236.93600839151227
10,388.41390690759243
11,6.683381332019071
12,1056.9929550188697
13,806.2469834743126
14,410.2213783180063
15,207.86627674619
16,8.12824271237553
17,400.00257544261
18,93.43311938734772
19,26.607994887661775
20,491.91400408272625
21,465.3060091950612
22,23.560302549480276
23,173.4410477970192
24,36.043199336211366
25,216.11693292949226
26,799.7799099676001
27,131.58747223912818
28,163.48397574500308
29,572.7429123112184
30,121.14122895809187
31,994.2408455953554
32,175.5992790580909
33,347.6256447955895
34,341.2085894264707
35,365.44723196738846
36,23.464835151034304
37,347.62256420485613
38,809.5856986522311
39,567.4103558807789
40,145.07836951434155
41,509.33884690632044
42,78.62621772506144
43,85.84402166441097
44,129.76873261228985
45,369.7650095671565
46,142.84010719722022
47,277.93771370925924
48,264.7029124682164
49,28.717658277673074
50,163.5005005599234
51,1078.7493065763344
52,210.6904473669716
53,155.07581495365028
54,249.59200956534542
55,203.61104206471882
56,68.96312456004594
57,75.28676484621052
58,16.30064779667243
59,5.835897841298642
60,8.116140767769958
61,23.80302445827877
62,10.240575814056678
