,Angular_Velocity
0,10.520280156558751
1,32.52213162623063
2,67.54328031215269
3,44.549595359258085
4,122.01535494588856
5,295.60176463978917
6,88.12874124020107
7,106.86237125375467
8,83.96077327395226
9,701.4788212312034
10,883.1215197213172
11,116.18107968070841
12,122.82014103979917
13,337.86355833470674
14,274.9381307020506
15,128.50422616824102
16,674.1284348003243
17,1006.9998797733058
18,150.61843264327763
19,207.5168514867378
20,926.924890810677
21,690.5127620575416
22,0.0
23,867.387570876139
24,122.09315273945852
25,413.23950858099033
26,233.46279057918886
27,63.22080316316558
28,12.92935489677263
29,563.5191285105996
30,143.6536858973139
31,179.9388790277404
32,460.98655447442974
33,205.42506340958698
34,297.93985940360506
35,273.89770784997086
36,206.60217818830134
37,39.113837859553215
38,508.3855175250285
39,158.53230546905502
40,47.999232892156066
41,289.2183281020867
42,120.7025809376022
43,288.2544304267014
44,397.6138341394031
45,209.55448741085036
46,166.38170583199954
47,236.54814535618823
48,138.58472198852593
49,163.3106618981636
50,168.11318780772135
51,455.3722014536401
52,25.065932182195922
53,209.62118082644864
54,219.56331834645633
55,299.91800262741276
56,87.09876962301244
57,103.74486134419124
58,8.375846261572933
59,13.869115924622022
60,20.719693754373957
61,3.9394971388586155
62,10.411560539902942
