,Angular_Velocity
0,175.37422321955026
1,187.90124732528014
2,155.8890370629505
3,12.185038750303814
4,192.54413038478106
5,167.40585666981315
6,103.10634926087994
7,114.2518130231358
8,51.91724791729004
9,527.0832964961302
10,944.6916353870977
11,140.7519688653049
12,147.6810526650795
13,558.8379336892607
14,136.11495410820123
15,168.94575921141484
16,269.01444890807693
17,572.7247338405814
18,273.7505675701878
19,302.6234128733379
20,463.55945092209663
21,717.1496092460666
22,206.96115078598626
23,514.6431971104097
24,173.9191632358616
25,615.5537076949997
26,168.67394667791174
27,40.88348515397519
28,148.87996113319605
29,734.7921874185027
30,6.026298963163813
31,209.04463173992534
32,687.1384199457339
33,25.220310327423817
34,1072.812398761427
35,125.53265832495258
36,176.38245847671553
37,9.494775261215338
38,668.1582956735022
39,41.36471010891317
40,71.55574582259231
41,146.70558954552294
42,654.4878226615338
43,190.72891341791498
44,573.2471759677619
45,149.24226575222278
46,43.072187526701434
47,383.9946690112679
48,272.8044611544599
49,102.68625188602488
50,102.72436928838135
51,359.99371586829665
52,118.82495867035479
53,154.0666047640853
54,132.31959504703158
55,1.937021465009461
56,83.9810206739914
57,102.29829855007635
58,61.17422754598633
59,34.10791493922458
60,4.5742894313233675
61,74.36875469306854
62,64.90644435003652
