,Angular_Velocity
0,51.75705612063844
1,48.656910897895635
2,14.03934502246506
3,57.25420922611007
4,64.8410440472919
5,72.31888419701158
6,44.740698338132354
7,96.37730687513307
8,182.16550206670178
9,487.506639400362
10,234.24323115221193
11,142.3755275482695
12,421.0031625941548
13,513.5438381130152
14,196.76323432514292
15,574.9974321348071
16,335.7582597689942
17,182.15335469952987
18,212.24463727447798
19,563.6423000702067
20,1051.411882376558
21,716.8858261806564
22,39.12693806817199
23,82.97011537166627
24,186.79065037110217
25,640.1913294417811
26,70.93972691166063
27,91.8659403612794
28,62.16152352430281
29,776.9153796294318
30,151.23578380760387
31,643.5573498900565
32,391.13259552528973
33,370.40550816235265
34,602.0679896317173
35,328.9677182514568
36,227.88723708335687
37,364.2296637286759
38,532.9989359167514
39,163.28403506242188
40,374.80971446119753
41,114.93295107426539
42,443.3123392482854
43,145.19237165280796
44,581.592656094618
45,4.552553756120407
46,104.24945286614873
47,500.3805709312867
48,192.0952448947417
49,113.17608394054
50,145.12951495584468
51,582.1411138616996
52,115.9735972848027
53,121.51413489233401
54,65.07090599161337
55,96.20575932159139
56,99.55171213685321
57,17.78467326881585
58,12.779750042646032
59,20.49148543638628
60,16.74046991967662
61,10.295649633776288
62,4.428603296781914
