,Angular_Velocity
0,25.95572515538022
1,13.05259128779083
2,58.47814233447895
3,137.01051910122337
4,4.685465770223908
5,1066.0373529387693
6,188.62123458908061
7,121.43169918735624
8,131.69778664774887
9,877.6559377386304
10,847.945822932666
11,63.4674723832833
12,386.62279623280386
13,159.27630967583886
14,9.604733310238498
15,144.76787853303264
16,708.9186697357892
17,289.42706695456184
18,216.95515911561873
19,231.21079160676302
20,103.35287954571885
21,334.4128143216072
22,47.43791447329889
23,374.195732347831
24,246.2978473937678
25,406.9562314101744
26,22.606143707971206
27,137.31946196009483
28,117.42535980479181
29,389.1736836718027
30,122.92237226875667
31,400.094158195367
32,204.94892949916496
33,98.92485971201152
34,84.50508642443691
35,443.4364943106053
36,63.810404023574726
37,326.54714169630904
38,288.5089411679367
39,69.42059563329391
40,55.085277456752024
41,283.71866968224253
42,129.0564179969683
43,72.76742380578258
44,420.43073155858696
45,22.299874570194696
46,101.96262725698334
47,43.48030409129073
48,246.14229219331844
49,30.614031683759638
50,283.46977341120106
51,360.2396586392548
52,53.05028543106104
53,42.255136305704006
54,38.666188567654146
55,20.36048249424348
56,83.27385975271922
57,108.9233523496401
58,40.55495174247925
59,19.889465948953426
60,37.468247378445206
61,29.325052959976976
62,2.415733771614073
