,Angular_Velocity
0,65.26030915938237
1,39.139298562398594
2,97.01123693437557
3,22.485951769701852
4,222.77851228304345
5,244.93672189718077
6,75.15438139060575
7,188.97852626886873
8,175.96461854755827
9,871.2838016692731
10,184.79975524766627
11,32.99861387093952
12,127.81726532812246
13,198.20710538079146
14,452.7240425800981
15,68.46626437563896
16,142.2495393713665
17,959.6142547483574
18,82.15476902425449
19,550.6517672580183
20,954.4672935135637
21,779.6004676813305
22,28.73481238327537
23,646.894061822141
24,250.2685478912277
25,226.4565477351404
26,124.88478175777577
27,570.3292822125107
28,410.91521439186727
29,620.122033999379
30,5.693530402313072
31,155.12366887455946
32,90.36354329470619
33,823.1782479853105
34,695.7502737842457
35,345.7087140679686
36,16.25268518289616
37,84.65584125288918
38,136.10225097708656
39,303.0453524216488
40,330.54308760424595
41,949.0459431058276
42,147.5420241556274
43,56.040298812369535
44,149.8578749272755
45,138.5268563561465
46,548.2634770823461
47,167.45587783789964
48,498.85221841418775
49,201.93088346523817
50,2.2386678195882532
51,288.108403935868
52,14.740913956140702
53,76.87707145176127
54,181.08403651931104
55,75.05773434735917
56,124.08984716879962
57,79.6618297741367
58,54.78394362420304
59,16.754804552005183
60,30.490692206500302
61,3.9171930542757805
62,60.66154449937538
