,Angular_Velocity
0,42.22764457910783
1,139.08760747296847
2,186.7640300127453
3,78.14064736555383
4,41.77189321568059
5,8.425707893481562
6,83.69242981462703
7,431.7739598175393
8,446.1223687821344
9,108.41512858949324
10,487.2180978114032
11,246.52055620741652
12,262.01243326740996
13,214.40044617434097
14,881.0914308856529
15,313.20381679481574
16,124.01953384919979
17,613.637690610368
18,167.00171155566858
19,241.12965142343032
20,817.7593515438987
21,4.0659691881318345
22,17.40336894270237
23,1024.9657776625254
24,73.06142102993083
25,82.68606684190259
26,454.7072511639236
27,295.54995175821927
28,294.07125706024254
29,571.3668400654757
30,172.89660880295494
31,197.51661881850987
32,338.71633069137386
33,727.991390308696
34,395.85636586711416
35,700.1200457255175
36,221.44115215933664
37,294.37128184259103
38,78.07452515141301
39,1012.585942529101
40,399.8850044813237
41,647.4891529140456
42,143.3660479025751
43,325.4224239982445
44,103.9048579113014
45,549.3560666716003
46,809.2354643149181
47,231.96829944632668
48,584.956381928386
49,342.1712596953003
50,293.17290595742026
51,126.13060845659302
52,117.01332267289345
53,18.743109317050706
54,19.782556500802187
55,697.7208575105686
56,41.99240954084149
57,62.68432124639358
58,43.90100037032128
59,12.071116078666194
60,7.646272835440194
61,7.929088690971358
62,22.219036737438678
