,Angular_Velocity
0,62.46964960686349
1,160.63054311716652
2,27.238520982222663
3,77.23803365757364
4,83.19924553329992
5,288.2917882359042
6,246.15656508798023
7,189.17085359551206
8,149.28528400253597
9,625.2207362853388
10,96.61012297580211
11,13.41087744250327
12,88.23679695423412
13,68.15085170896936
14,206.78337419477617
15,1069.3371785611214
16,236.45754943756575
17,843.0895897390902
18,70.07968162285454
19,532.6940572414074
20,587.2730443219887
21,816.2315834246257
22,21.16058919870984
23,700.4078737050635
24,65.72056220251831
25,22.310388704581662
26,75.71257778490249
27,859.7021333563631
28,814.5137737811243
29,136.77788699654604
30,67.07936059693407
31,8.089696442526012
32,38.76237075595629
33,272.3178521571839
34,675.9344631198842
35,889.1046848467987
36,8.419844463582697
37,38.20290445133813
38,9.983385064534819
39,38.63994454643435
40,912.0175797433396
41,920.7744423968051
42,67.3041448193964
43,30.14419726147679
44,4.094167376900831
45,23.182417021698768
46,942.2126668961432
47,95.29340829905352
48,866.4740778057064
49,11.67356746116205
50,9.913014146906308
51,113.71824136034019
52,32.86377240164547
53,43.842279523403974
54,137.82901497863853
55,60.23066023169771
56,12.631732642121028
57,36.70428148001057
58,49.58193918206776
59,3.362539620966803
60,8.82245313988756
61,37.25440113248051
62,1.4884147039091598
