,Angular_Velocity
0,28.360870079917838
1,4.361785795082196
2,37.27460134227833
3,89.79080750640566
4,14.721839551056664
5,650.6481558023922
6,88.55113631439362
7,109.27644144520616
8,201.51404288989497
9,394.8849700856253
10,202.90056718413283
11,30.698045966044848
12,175.50745994478717
13,130.34187959330802
14,108.91193025199632
15,425.86906670094606
16,36.28196102579062
17,831.2544393121929
18,173.97719123802432
19,343.5069805412337
20,166.85369387105388
21,543.1300540061483
22,306.8095430202377
23,133.23706859800487
24,136.12464131911563
25,161.29615433892096
26,56.37950041640567
27,631.2364573791086
28,674.1243988614776
29,330.56986731682633
30,59.07888405007208
31,197.45008260872626
32,94.49723777290731
33,101.35828363184483
34,282.20698250696074
35,690.3978007614637
36,26.1385810256584
37,198.03480750010607
38,104.15625879918844
39,3.8689228410723864
40,539.9793288004835
41,722.5425032891947
42,101.88329964244265
43,63.4585441301463
44,138.58083667775125
45,17.526094682383903
46,558.9194034882443
47,49.59694298731951
48,658.4367949170005
49,45.49305546449059
50,110.65338160829452
51,135.70384821071
52,101.04596084110023
53,48.233578540903395
54,62.227524604178846
55,41.56122106284494
56,4.920467415900841
57,29.09605496861106
58,27.151257709309274
59,17.884369159130422
60,30.97241810305765
61,12.707568301976204
62,36.57915897136616
