,Angular_Velocity
0,34.565789567533365
1,117.40188887919331
2,36.936113263598266
3,124.96502144310428
4,12.121065516615289
5,129.34247571022644
6,3.1352836668254502
7,255.24521029792052
8,438.5284759808403
9,32.682488089526096
10,540.2523080666249
11,202.57334947795053
12,284.54264286929396
13,61.30945475108123
14,1061.2296620547288
15,320.935561710527
16,297.23470784116967
17,183.33161563034622
18,48.081387711916506
19,156.1965332149408
20,983.1510244311966
21,77.50677116318455
22,14.654783243110666
23,1026.5873103439171
24,45.63909237798411
25,497.74332505917454
26,484.36668292466203
27,363.3467943628909
28,155.28048745837913
29,1023.1278770537948
30,169.63588343141797
31,562.127561623841
32,10.218624324176337
33,723.5936212135634
34,480.95353348716174
35,629.2669442428239
36,261.6258886828362
37,237.8624126471724
38,426.72680966282405
39,547.2080729705475
40,410.3488177941742
41,926.2023645974165
42,414.05554252850135
43,26.139869784267727
44,785.5459925904735
45,249.24189845301345
46,566.0951308318164
47,223.3420809807589
48,555.6336236593678
49,300.25651665193647
50,368.07005793195896
51,232.32289836378553
52,187.32748068357097
53,17.508082678320942
54,306.9662932121134
55,240.65652719846017
56,174.27039278666774
57,84.78506821907573
58,27.656955960150867
59,23.218248406340805
60,7.887692859804165
61,37.42192330029192
62,38.99371134758672
